outage_idx,outage_line,status,max_loading_percent,n_violations
0,RL1,converged,94.7936373973382,0
1,CL5,converged,94.92201019476458,0
3,CL17,converged,97.61512869484363,0
5,RL7,converged,96.11200881681263,0
6,CL13,converged,95.7155314586426,0
8,CL4,converged,95.1553567833704,0
9,CL10,converged,95.72796587372366,0
10,CL8,converged,95.30885169046486,0
12,FL5,converged,98.01730414725135,0
15,RL3,converged,154.0250888850737,3
16,FL12,converged,95.07833452130444,0
17,FL1,converged,98.3832169406794,0
18,FL3,converged,95.56270693875027,0
20,FL8,converged,102.6205123410168,2
23,FL4,converged,94.9090031062866,0
27,FL10,converged,96.65240750041882,0
28,AL5,converged,96.29731815828488,0
31,RL5,converged,148.28401710662897,3
32,FL13,converged,95.07833452130444,0
33,FL7,converged,102.6205123410168,2
34,FL6,converged,95.47666228672328,0
38,CL14,converged,99.03645621794527,0
39,CL11,converged,95.73066233644887,0
40,AL4,converged,94.86714583157064,0
42,FL16,converged,98.39240141841556,0
46,AL1,converged,125.82770076175703,1
47,AL6,converged,96.29731815828488,0
51,AL10,converged,140.09962450143445,1
52,RL8,converged,130.55348052695987,5
53,RL9,converged,130.55348052695987,5
54,FL15,converged,97.52803775912405,0
55,CL7,converged,94.8762498078674,0
56,CL16,converged,98.64601993522474,0
58,FL11,converged,105.784589377732,2
59,CL6,converged,94.8762498078674,0
60,RL6,converged,148.2840171066289,3
62,CL15,converged,99.03645621794527,0
66,RL4,converged,154.0250888850737,3
67,CL12,converged,98.92965866216086,0
68,AL2,converged,125.82770076175703,1
69,AL7,converged,205.31210376932415,1
70,CL1,converged,94.92295185698613,0
73,FL14,converged,97.52803775912405,0
77,AL8,converged,205.31210376932415,1
78,CL2,converged,96.35107322846882,0
79,AL9,converged,140.09962450143445,1
80,FL2,converged,97.40027912357007,0
81,AL3,converged,94.86714583157064,0
82,FL9,converged,96.39211349923386,0
83,CL9,converged,95.72796587372366,0
86,RL2,converged,94.7936373973382,0
89,CL3,converged,95.19986890885625,0
